,Day,Month,Year,Rented.Bike.Count,Hour,TemperatureC,Humidity,Wind.speed.ms,Visibility.10m,Dew.point.temperature.C,Solar.Radiation..MJ.m2.,Rainfallmm,Snowfall.cm,Seasons,Holiday
8617,25,11,2018,420,0,2.7,86,1.2,422,0.5,0,0,3,Autumn,No Holiday
677,29,12,2017,85,4,0.6,65,0.4,712,-5.2,0,0,0,Winter,No Holiday
7812,22,10,2018,941,11,16.7,37,0.7,1074,1.9,1.74,0,0,Autumn,No Holiday
7668,16,10,2018,914,11,16.5,39,0.7,1351,2.4,1.68,0,0,Autumn,No Holiday
7588,13,10,2018,374,3,7.6,78,0.7,1614,4,0,0,0,Autumn,No Holiday
2778,26,3,2018,925,17,17.1,31,3.3,1075,-0.1,1.33,0,0,Spring,No Holiday
603,26,12,2017,85,2,-2.1,69,1,1995,-7,0,0,0,Winter,No Holiday
6578,1,9,2018,975,1,22.7,83,0.1,1940,19.6,0,0,0,Autumn,No Holiday
1549,3,2,2018,192,12,-6,38,3.4,1930,-18,2.04,0,0,Winter,No Holiday
8613,24,11,2018,349,20,2.6,86,1.7,676,0.4,0,0,3.3,Autumn,No Holiday
4134,22,5,2018,182,5,15.7,0,0.6,1610,10.6,0,0,0,Spring,Holiday
7036,20,9,2018,294,3,19.6,72,1.7,1140,14.4,0,0,0,Autumn,No Holiday
5187,5,7,2018,568,2,23.6,80,1.5,879,19.9,0,0,0,Summer,No Holiday
7580,12,10,2018,1804,19,12.9,50,1.4,2000,2.7,0,0,0,Autumn,No Holiday
4762,17,6,2018,944,9,22.5,66,1.2,605,15.8,0.97,0,0,Summer,No Holiday
6757,8,9,2018,1273,12,25.2,36,2.4,1995,9,2.93,0,0,Autumn,No Holiday
6262,18,8,2018,1886,21,26.8,48,0.9,2000,14.8,0,0,0,Summer,No Holiday
6363,23,8,2018,492,2,29.8,53,1.4,2000,19.1,0,0,0,Summer,No Holiday
6813,10,9,2018,2240,20,23.4,48,1.8,2000,11.7,0,0,0,Autumn,No Holiday
3172,12,4,2018,182,3,7.8,49,1.4,1972,-2.2,0,0,0,Spring,No Holiday
1648,7,2,2018,221,15,-2.1,20,2.3,1961,-22.1,1.87,0,0,Winter,No Holiday
4561,9,6,2018,1247,0,19.7,83,1.5,390,16.7,0,0,0,Summer,No Holiday
2026,23,2,2018,214,9,0.5,94,0.6,199,-0.3,0.37,0,3.7,Winter,No Holiday
7514,10,10,2018,144,1,16.6,57,1.5,2000,8,0,0,0,Autumn,No Holiday
985,11,1,2018,98,0,-10.3,54,2.4,1988,-17.8,0,0,0,Winter,No Holiday
5863,2,8,2018,578,6,30.4,54,1.3,2000,20,0.01,0,0,Summer,No Holiday
4871,21,6,2018,2179,22,22.8,67,2.1,1042,16.3,0,0,0,Summer,No Holiday
8745,30,11,2018,1527,8,-1.5,68,1.1,1286,-6.6,0.02,0,0,Autumn,No Holiday
2391,10,3,2018,906,14,9.2,38,2.6,1377,-4.4,2.53,0,0,Spring,No Holiday
4323,30,5,2018,422,2,18.7,83,0.6,469,15.7,0,0,0,Spring,No Holiday
6609,2,9,2018,576,8,21.3,57,1.3,2000,12.4,0.81,0,0,Autumn,No Holiday
5469,16,7,2018,2362,20,29.3,58,2.4,2000,20.1,0.09,0,0,Summer,No Holiday
7486,8,10,2018,1788,21,15.1,48,2.6,2000,4.1,0,0,0,Autumn,No Holiday
5496,17,7,2018,1340,23,26.6,76,1.6,936,22,0,0,0,Summer,No Holiday
4885,22,6,2018,1116,12,29.8,28,1.3,1777,9.3,3.21,0,0,Summer,No Holiday
955,9,1,2018,558,18,-3.8,58,1.7,1996,-10.8,0.01,0,0,Winter,No Holiday
292,13,12,2017,79,3,-10.9,55,1.8,1913,-18.1,0,0,0,Winter,No Holiday
1986,21,2,2018,469,17,3.1,14,3.7,2000,-21.9,1,0,0,Winter,No Holiday
907,7,1,2018,270,18,1.8,34,1.2,1518,-12.4,0,0,0,Winter,No Holiday
7140,24,9,2018,588,11,19.4,31,4.1,1966,1.8,2.55,0,0,Autumn,Holiday
6941,16,9,2018,188,4,22.5,89,0.7,444,20.5,0,0.3,0,Autumn,No Holiday
4473,5,6,2018,2322,8,21.5,58,1.1,1021,12.8,1.21,0,0,Summer,No Holiday
5102,1,7,2018,30,13,21.2,97,1.1,760,20.6,0.2,3.5,0,Summer,No Holiday
6170,15,8,2018,850,1,29.6,69,0.4,1942,23.3,0,0,0,Summer,Holiday
4703,14,6,2018,1737,22,21.8,72,1,1952,16.5,0,0,0,Summer,No Holiday
224,10,12,2017,20,7,-0.4,92,1.1,121,-1.5,0,0,4,Winter,No Holiday
840,4,1,2018,221,23,-4,48,1.5,1536,-13.4,0,0,0,Winter,No Holiday
8501,20,11,2018,119,4,1.3,48,0.5,2000,-8.5,0,0,0,Autumn,No Holiday
8630,25,11,2018,675,13,8.8,53,1.5,778,-0.2,1.43,0,1.8,Autumn,No Holiday
